Other
Lagos State University Ojo, Lagos.
Landmark University,Omu-Aran.
Lead City University, Ibadan
Madonna University, Okija
Mai Idris Alooma Polytechnic, Yobe State
Maritime Academy of Nigeria, Akwa Ibom State
Marvic Polytechnic, Ogun State
Maurid Institute of Management & Technology, Nasarawa, Nasarawa State
Mcpherson University, Seriki Sotayo, Ajebo
Michael Okpara Uni. of Agric., Umudike
Modibbo Adama University of Technology, Yola
Mohammed Abdullahi Wase Polytechnic, Kano State
Moshood Abiola Polytechnic, Ogun State
Nasarawa State Polytechnic, Nasarawa State
Nasarawa State University, Keffi
National Open University of Nigeria, Lagos.
Niger Delta Unversity, Yenagoa
Niger State College of Agriculture, Niger State
Niger State Polytechnic, Niger State
Nigeria Police Academy Wudil
Nigerian College of Aviation Technology, Kaduna State
Nigerian Defence Academy,Kaduna
Nigerian-Turkish Nile University, Abuja
Nnamdi Azikiwe University, Awka
Northwest University, Kano
Novena University, Ogume
Nuhu Bamalli Polytechnic, Kaduna State
Obafemi Awolowo University,Ile-Ife
Obong University, Obong Ntak
Oduduwa University, Ipetumodu - Osun State
Olabisi Onabanjo University Ago-Iwoye
Ondo State University of Science & Technology, Okitipupa
Osun State College of Technology, Osun State
Osun State Polytechnic, Osun State
Osun State University, Oshogbo
Our Saviour Institute of Science and Technology, Enugu State
Pan-African University, Lagos
Paul University, Awka - Anambra State
Petroleum Training Institute, Delta State
Plateau State College of Agriculture, Plateau State
Plateau State Polytechnic, Plateau State
Plateau State University, Bokkos
Polytechnic Ile-Ife, Osun State
Ramat Polytechnic, Borno State
Redeemer's University, Mowe
Renaissance University,Enugu
Rhema University, Obeama-Asa - Rivers State
Rivers State College of Arts and Science, Rivers State
Rivers State Polytechnic, Rivers State
Rivers State University of Science & Technology
Ronik Polytechnic, Lagos State
Rufus Giwa Polytechnic, Ondo State
Salem University,Lokoja
Samaru College of Agriculture, Kaduna State
Samuel Adegboyega University,Ogwa.
School of Agriculture, Ikorodu, Lagos State
Shaka Polytechnic, Edo State
Sokoto State University, Sokoto
Southern Nigeria Institute of Innovative Technology (SNIITPOLY), Osun State
Southwestern University, Oku Owa
Tai Solarin Univ. of Education, Ijebu-Ode
Tansian University,Umunya
Taraba State University, Jalingo
Technical University,Ibadan
Temple Gate Polytechnic, Abia State
The KINGS Poly, Saki, Oyo State
The Polytechnic, Calabar, Cross River State
The Polytechnic, Ibadan, Oyo State
Tower Polytechnic, Ibadan, Oyo State
Umaru Musa Yar'Adua University, Katsina
University of Abuja, Gwagwalada
University of Agriculture, Abeokuta.
University of Agriculture, Makurdi.
University of Benin
University of Calabar
University of Ibadan
University of Ilorin
University of Jos
University of Lagos
University of Maiduguri
University of Mkar, Mkar
University of Nigeria, Nsukka
University of Port-Harcourt
University of Uyo
Usumanu Danfodiyo University
Veritas University
Wavecrest College of Hospitality, Lagos State
Wellspring University, Evbuobanosa - Edo State
Wesley Univ. of Science & Tech.,Ondo
Western Delta University, Oghara
Wolex Polytechnic, Lagos State
Yaba College of Technology, Lagos State
